station_id,terminal_id,X_lon,Y_lat,address,postcode,place,area,started,docks,hires,duration
1,1023,-0.10997,51.529163,24 River St,EC1R1XN,River Street,Clerkenwell,20120104,19,37935,830
2,1018,-0.197574,51.499606,1 Phillimore Gardens,W8  7RA,Phillimore Gardens,Kensington,20120104,37,50899,1480
3,1012,-0.084605,51.521283,9 Christopher St,EC2A2BU,Christopher Street,Liverpool Street,20120104,32,54428,931
4,1013,-0.120973,51.530059,8 St Chad's St,WC1X8QS,St. Chad's Street,King's Cross,20120104,23,71094,1143
5,3420,-0.156876,51.49313,3 Sedding St,SW1W8EE,Sedding Street,Sloane Square,20120104,27,69306,1389
6,3424,-0.144228,51.518117,3 Portland Pl,W1B 1HR,Broadcasting House,Marylebone,20120104,18,64704,1096
7,3422,-0.168074,51.5343,53 Allitsen Rd,NW8 7BT,Charlbert Street,St. John's Wood,20120104,16,32193,1417
8,3423,-0.170134,51.528341,48 Lodge Rd,NW8 8JY,Lodge Road,St. John's Wood,20120104,18,10540,1259
9,1015,-0.09644,51.507385,18 New Globe Walk,SE1 9DR,New Globe Walk,Bankside,20120104,19,82275,1220
10,1024,-0.092754,51.505974,28-30 Park St,SE1 9ER,Park Street,Bankside,20120104,18,54563,1358
11,1022,-0.122502,51.523951,11-13 Brunswick Square,WC1N1AW,Brunswick Square,Bloomsbury,20120104,24,74810,930
12,980,-0.130431,51.52168,Malet St,WC1E7HX,Malet Street,Bloomsbury,20120104,49,131303,926
13,970,-0.136039,51.519914,2 Scala St,W1T 2NU,Scala Street,Fitzrovia,20120104,21,51097,933
14,1011,-0.123616,51.529943,2 Belgrove St,NW1 2SB,Belgrove Street,King's Cross,20120104,48,390561,1014
15,988,-0.127854,51.517727,97 Great Russell St,WC1B3LE,Great Russell Street,Bloomsbury,20120104,26,80083,1181
16,1010,-0.125979,51.526357,1 Cartwright Gardens,WC1N1AG,Cartwright Gardens,Bloomsbury,20120104,22,83071,1004
17,1008,-0.109006,51.521661,Blackbull Yard,EC1N8LX,Hatton Wall,Holborn,20120104,26,121743,911
18,1007,-0.122219,51.51477,36-37 Drury Ln,WC2B5AD,Drury Lane,Covent Garden,20120104,27,140434,1129
19,1009,-0.131161,51.52505,14 Taviton St,WC1H0PY,Taviton Street,Bloomsbury,20120104,30,86634,962
20,993,-0.135273,51.527736,93 Drummond St,NW1 2LW,Drummond Street,Euston,20120104,28,76547,1066
21,3426,-0.138846,51.530078,140 Hampstead Rd,NW1 3SH,Hampstead Road (Cartmel),Euston,20120104,16,24087,1115
22,3425,-0.114079,51.522264,57A Gray's Inn Rd,WC1N2JE,Northington Street,Holborn,20120104,19,79464,867
23,3421,-0.119123,51.519435,Old N St,WC1R4RB,Red Lion Square,Holborn,20120104,16,57746,917
24,981,-0.124678,51.51908,27 Montague St,WC1B5BW,British Museum,Bloomsbury,20120104,35,107090,1240
25,1004,-0.13225,51.528833,46 Doric Way,NW1 1LH,Doric Way,Somers Town,20120104,31,85387,1077
26,1019,-0.118295,51.52728,36 Ampton St,WC1X8EB,Ampton Street,Clerkenwell,20120104,21,56944,1007
27,1021,-0.107927,51.513821,4 Bouverie St,EC4Y8AY,Bouverie Street,Temple,20120104,33,77596,965
28,1025,-0.143613,51.523518,53 Bolsover St,W1W 5JL,Bolsover Street,Fitzrovia,20120104,19,89046,1143
29,1016,-0.193487,51.513735,64 Leinster Square,W2  4PW,Hereford Road,Bayswater,20120104,22,52689,1336
30,1029,-0.093421,51.529154,2 Windsor Terrace,N1  7TJ,Windsor Terrace,Hoxton,20120104,24,58727,920
31,3427,-0.083353,51.529537,73 Pitfield St,N1  6BS,Fanshaw Street,Hoxton,20120104,36,56332,1175
32,1020,-0.084439,51.524696,56-64 Leonard St,EC2A4LW,Leonard Circus,Shoreditch,20120104,43,111577,1031
33,3430,-0.070056,51.5156,Central House,E1  7PF,Altab Ali Park,Whitechapel,20120104,18,77384,1268
34,3428,-0.129386,51.534123,147 Pancras Rd,NW1 1UH,Pancras Road,King's Cross,20120104,16,40665,1110
36,3446,-0.18498,51.501737,1 De Vere Gardens,SW7 5BB,De Vere Gardens,Kensington,20120104,28,46548,1597
37,3444,-0.192369,51.491593,1 Penywern Rd,SW5 9AD,Penywern Road,Earl's Court,20120104,17,51732,1592
38,3442,-0.197245,51.497387,84 Abingdon Villas,W8  6ED,Abingdon Villas,Kensington,20120104,17,31179,1050
39,3445,-0.07813,51.526377,134-135 Shoreditch High St,E1  6JE,Shoreditch High Street,Shoreditch,20120104,41,161867,1411
40,1083,-0.075578,51.52127,155 Commercial St,E1  6BJ,Commercial Street,Shoreditch,20120104,16,63638,1148
41,1084,-0.083911,51.520017,4 Crown Pl,EC2M2PY,Sun Street,Liverpool Street,20120104,25,143699,813
42,979,-0.093903,51.530991,5 Wenlock Rd,N1  7GG,Wenlock Road,Hoxton,20120104,28,59801,889
43,1036,-0.157183,51.52026,2 Crawford St,W1U 6AY,Crawford Street,Marylebone,20120104,18,64336,1124
44,1034,-0.144165,51.510736,10 Bruton St,W1J 6PU,Bruton Street,Mayfair,20120104,21,35014,1328
45,1035,-0.162298,51.522511,16 Boston Pl,NW1 6QH,Boston Place,Marylebone,20120104,26,108776,1039
46,1031,-0.06691,51.507131,Vaughan Way,E1W 1YW,Nesham Street,Wapping,20120104,16,97435,840
47,1027,-0.183846,51.523344,42A Warwick Ave,W9  1DX,Warwick Avenue Station,Maida Vale,20120104,19,75254,1642
48,971,-0.099141,51.512484,17 Godliman St,EC4V5BD,Godliman Street,St. Paul's,20120104,25,98929,1166
49,3437,-0.145904,51.507069,50 Curzon St,W1J 5HE,Curzon Street,Mayfair,20120104,16,47779,1516
50,1054,-0.087459,51.528673,55 East Rd,N1  6DG,East Road,Hoxton,20120104,27,57553,1006
51,986,-0.104298,51.526717,272-278 St John St,EC1V4NB,Finsbury Library,Finsbury,20120104,29,55176,1047
52,1026,-0.094934,51.522954,88 Golden Ln,EC1Y0UA,Roscoe Street,St. Luke's,20120104,18,64509,855
53,3431,-0.143495,51.509992,7-8 Grafton St,W1J 6HZ,Grafton Street,Mayfair,20120104,18,32718,1260
54,967,-0.094475,51.521747,86 Golden Ln,EC1Y0RS,Golden Lane,Barbican,20120104,27,72307,758
55,984,-0.086685,51.517075,Circus Pl,EC2M5PG,Finsbury Circus,Liverpool Street,20120104,33,191904,907
56,1033,-0.154701,51.520583,22 Paddington St,W1U 5BJ,Paddington Street,Marylebone,20120104,15,56741,1108
57,974,-0.120202,51.523346,30 Guilford St,WC1N1EH,Guilford Street,Bloomsbury,20120104,32,89691,934
58,1032,-0.079248,51.524526,25 New Inn Yard,EC2A3EZ,New Inn Yard,Shoreditch,20120104,20,79619,1059
59,1014,-0.114329,51.531768,4 Rodney St,N1  9JE,Rodney Street,Angel,20120104,30,31664,1099
60,1030,-0.17219,51.526448,219 Lisson Grove,NW8 8LW,Lisson Grove,St. John's Wood,20120104,18,28571,1400
61,1017,-0.089446,51.497382,60 Great Dover St,SE1 4YF,Great Dover Street,Borough,20120104,33,60404,1031
62,990,-0.106323,51.490757,54-60 Kennington Ln,SE114HP,Cotton Garden Estate,Kennington,20120104,24,32938,1058
63,989,-0.089782,51.53089,85 Murray Grove,N1  7FB,Murray Grove,Hoxton,20120104,27,46826,976
64,1028,-0.124749,51.509462,5 William IV St,WC2R0QN,William IV Street,Strand,20120104,26,144874,1204
